user_id,total_purchase_value_inApp,total_purchases_inApp,first_purchase_date_inApp,last_purchase_date_inApp,number_of_purchase_days_inApp,preferred_product_inApp,average_purchase_value_inApp
280523,14.97,3,2024-04-23,2024-04-28,2,Gold,4.99
280588,54.910000000000004,10,2024-04-06,2024-04-16,5,Promotion,5.49
280603,9.98,2,2024-03-20,2024-03-22,2,Gold,4.99
280604,9.98,2,2024-03-23,2024-03-23,1,Promotion,4.99
280612,19.96,4,2024-03-06,2024-03-09,2,Gold,4.99
280620,9.98,2,2024-03-08,2024-03-09,2,Promotion,4.99
280694,24.950000000000003,5,2024-03-30,2024-04-04,3,Promotion,4.99
280781,9.98,2,2024-03-08,2024-03-11,2,Gold,4.99
280804,249.81,19,2024-03-15,2024-04-25,12,Gold,13.15
280833,9.98,2,2024-03-31,2024-04-03,2,Promotion,4.99
280904,4.99,1,2024-03-09,2024-03-09,1,Promotion,4.99
280979,29.94,6,2024-03-23,2024-04-26,4,Gold,4.99
280995,24.950000000000003,5,2024-04-07,2024-04-29,4,Promotion,4.99
281020,14.97,3,2024-04-07,2024-04-07,1,Promotion,4.99
281025,9.98,2,2024-04-16,2024-04-20,2,Gold,4.99
281035,24.96,4,2024-03-02,2024-03-15,2,Promotion,6.24
281125,44.95,5,2024-04-06,2024-05-01,3,Promotion,8.99
281128,4.99,1,2024-03-02,2024-03-02,1,Promotion,4.99
281161,4.99,1,2024-04-07,2024-04-07,1,Gold,4.99
281203,94.85000000000001,15,2024-04-19,2024-04-30,10,Promotion,6.32
281207,4.99,1,2024-03-08,2024-03-08,1,Promotion,4.99
281208,4.99,1,2024-04-06,2024-04-06,1,Promotion,4.99
281229,49.910000000000004,9,2024-03-02,2024-03-13,7,Promotion,5.55
281259,14.97,3,2024-04-03,2024-04-03,1,Gold,4.99
281388,9.99,1,2024-04-08,2024-04-08,1,Gold,9.99
281458,4.99,1,2024-03-13,2024-03-13,1,Promotion,4.99
281460,49.900000000000006,10,2024-03-07,2024-04-09,8,Promotion,4.99
281491,19.96,4,2024-03-16,2024-03-19,3,Promotion,4.99
281517,19.96,4,2024-03-17,2024-03-29,3,Promotion,4.99
281522,4.99,1,2024-03-26,2024-03-26,1,Gold,4.99
281524,4.99,1,2024-04-21,2024-04-21,1,Promotion,4.99
281777,44.93,7,2024-04-06,2024-04-27,6,Promotion,6.42
281791,9.98,2,2024-03-10,2024-03-17,2,Gold,4.99
281818,24.950000000000003,5,2024-04-03,2024-04-30,5,Promotion,4.99
281844,4.99,1,2024-04-02,2024-04-02,1,Promotion,4.99
281888,4.99,1,2024-04-28,2024-04-28,1,Gold,4.99
281900,4.99,1,2024-03-03,2024-03-03,1,Remove Ads,4.99
281965,4.99,5,2024-04-07,2024-04-28,5,Remove Ads,1.0
282016,4.99,1,2024-03-31,2024-03-31,1,Promotion,4.99
282124,19.96,4,2024-03-18,2024-03-19,2,Gold,4.99
282126,9.98,2,2024-04-12,2024-04-12,1,Promotion,4.99
282135,4.99,1,2024-03-09,2024-03-09,1,Promotion,4.99
282217,19.96,4,2024-03-05,2024-04-02,4,Promotion,4.99
282222,4.99,1,2024-03-31,2024-03-31,1,Promotion,4.99
282255,14.97,3,2024-03-22,2024-05-01,3,Gold,4.99
282287,9.98,2,2024-04-23,2024-04-30,2,Promotion,4.99
282292,9.98,2,2024-04-03,2024-04-03,1,Gold,4.99
282336,44.910000000000004,9,2024-03-05,2024-04-30,9,Remove Ads,4.99
282351,4.99,1,2024-03-23,2024-03-23,1,Gold,4.99
282355,14.97,3,2024-04-21,2024-04-27,2,Gold,4.99
282372,4.99,1,2024-04-04,2024-04-04,1,Promotion,4.99
282377,9.98,2,2024-03-01,2024-03-02,2,Promotion,4.99
282387,181.75,25,2024-03-02,2024-04-30,15,Promotion,7.27
282396,54.94,6,2024-03-05,2024-04-01,2,Gold,9.16
282406,14.98,2,2024-03-03,2024-04-20,2,Gold,7.49
282528,4.99,1,2024-04-24,2024-04-24,1,Promotion,4.99
282634,9.99,1,2024-04-23,2024-04-23,1,Promotion,9.99
282668,4.99,1,2024-04-09,2024-04-09,1,Promotion,4.99
282726,4.99,1,2024-03-29,2024-03-29,1,Promotion,4.99
282761,14.97,3,2024-03-28,2024-05-01,3,Promotion,4.99
282775,34.95,5,2024-04-11,2024-04-13,3,Promotion,6.99
282784,4.99,1,2024-03-09,2024-03-09,1,Gold,4.99
282798,758.48,152,2024-03-28,2024-04-21,11,Gold,4.99
282812,9.99,1,2024-03-15,2024-03-15,1,Promotion,9.99
282824,19.96,4,2024-04-02,2024-05-01,2,Promotion,4.99
282826,9.98,2,2024-03-15,2024-03-16,2,Gold,4.99
282881,34.95,5,2024-03-04,2024-03-11,3,Promotion,6.99
282903,4.99,1,2024-03-04,2024-03-04,1,Gold,4.99
282914,9.98,2,2024-04-22,2024-04-24,2,Gold,4.99
282946,4.99,1,2024-03-11,2024-03-11,1,Promotion,4.99
282978,4.99,1,2024-03-20,2024-03-20,1,Promotion,4.99
282987,19.96,4,2024-03-01,2024-03-23,4,Gold,4.99
282996,9.99,1,2024-04-01,2024-04-01,1,Gold,9.99
283035,4.99,1,2024-03-05,2024-03-05,1,Promotion,4.99
283072,9.98,2,2024-04-12,2024-04-15,2,Gold,4.99
283181,4.99,1,2024-03-11,2024-03-11,1,Promotion,4.99
283220,169.68,32,2024-03-24,2024-04-14,12,Gold,5.3
283260,4.99,1,2024-03-03,2024-03-03,1,Promotion,4.99
283279,29.97,3,2024-03-31,2024-04-03,2,Gold,9.99
283292,14.97,3,2024-03-03,2024-03-07,3,Promotion,4.99
283298,4.99,1,2024-04-25,2024-04-25,1,Gold,4.99
283317,9.98,2,2024-03-02,2024-03-03,2,Promotion,4.99
283372,94.87,13,2024-03-01,2024-05-01,11,Remove Ads,7.3
283377,19.96,4,2024-03-14,2024-04-28,3,Promotion,4.99
283448,4.99,1,2024-03-04,2024-03-04,1,Promotion,4.99
283454,24.97,3,2024-03-21,2024-03-23,2,Gold,8.32
283552,4.99,1,2024-03-10,2024-03-10,1,Promotion,4.99
283570,4.99,1,2024-03-16,2024-03-16,1,Promotion,4.99
283573,4.99,1,2024-04-22,2024-04-22,1,Promotion,4.99
283603,19.96,4,2024-04-20,2024-04-25,4,Gold,4.99
283618,4.99,1,2024-03-06,2024-03-06,1,Promotion,4.99
283637,44.910000000000004,9,2024-03-01,2024-04-25,9,Remove Ads,4.99
283644,9.98,2,2024-03-05,2024-03-05,1,Gold,4.99
283654,4.99,1,2024-04-16,2024-04-16,1,Gold,4.99
283783,14.98,2,2024-04-05,2024-04-06,2,Gold,7.49
283832,4.99,1,2024-03-20,2024-03-20,1,Promotion,4.99
283856,4.99,1,2024-03-31,2024-03-31,1,Gold,4.99
283889,9.98,2,2024-03-04,2024-03-04,1,Gold,4.99
283890,14.97,3,2024-03-21,2024-04-13,3,Promotion,4.99
283901,14.97,3,2024-03-04,2024-03-04,1,Gold,4.99
283924,24.950000000000003,5,2024-04-03,2024-04-28,5,Remove Ads,4.99
283964,9.98,2,2024-03-24,2024-03-24,1,Promotion,4.99
283977,4.99,1,2024-04-24,2024-04-24,1,Gold,4.99
284035,14.97,3,2024-04-11,2024-04-23,3,Gold,4.99
284040,4.99,1,2024-04-01,2024-04-01,1,Promotion,4.99
284049,9.98,2,2024-04-11,2024-04-11,1,Gold,4.99
284066,4.99,1,2024-04-25,2024-04-25,1,Promotion,4.99
284070,4.99,1,2024-03-09,2024-03-09,1,Promotion,4.99
284094,4.99,1,2024-04-29,2024-04-29,1,Gold,4.99
284330,19.96,4,2024-03-14,2024-03-21,2,Gold,4.99
284337,4.99,1,2024-03-01,2024-03-01,1,Gold,4.99
284406,19.96,4,2024-04-04,2024-04-10,3,Promotion,4.99
284519,14.97,3,2024-03-01,2024-03-01,1,Gold,4.99
284559,4.99,1,2024-03-14,2024-03-14,1,Gold,4.99
284622,154.70000000000002,30,2024-04-04,2024-04-26,13,Gold,5.16
284654,29.950000000000003,5,2024-03-11,2024-03-26,5,Gold,5.99
284659,69.87,13,2024-03-10,2024-04-30,11,Promotion,5.37
284665,59.89,11,2024-03-31,2024-04-30,10,Promotion,5.44
284707,314.63,37,2024-03-02,2024-04-27,23,Gold,8.5
284768,14.97,3,2024-03-19,2024-04-18,2,Promotion,4.99
284769,4.99,1,2024-03-26,2024-03-26,1,Promotion,4.99
284776,4.99,1,2024-04-02,2024-04-02,1,Promotion,4.99
284792,19.96,4,2024-04-07,2024-04-23,4,Gold,4.99
284800,9.98,2,2024-03-31,2024-03-31,1,Promotion,4.99
284843,9.99,2,2024-04-18,2024-04-18,1,Gold,5.0
284891,109.78,22,2024-03-15,2024-04-06,12,Gold,4.99
284965,4.99,1,2024-03-09,2024-03-09,1,Remove Ads,4.99
285071,69.89,11,2024-03-12,2024-04-24,5,Promotion,6.35
285118,4.99,1,2024-04-15,2024-04-15,1,Promotion,4.99
285209,4.99,1,2024-03-15,2024-03-15,1,Gold,4.99
285210,59.94,6,2024-04-22,2024-04-29,4,Gold,9.99
285211,4.99,1,2024-03-23,2024-03-23,1,Promotion,4.99
285236,29.96,4,2024-03-05,2024-03-06,2,Promotion,7.49
285249,29.96,4,2024-03-01,2024-03-06,3,Gold,7.49
285274,4.99,3,2024-04-08,2024-04-25,3,Remove Ads,1.66
285493,4.99,1,2024-04-06,2024-04-06,1,Promotion,4.99
285497,14.97,3,2024-04-13,2024-04-30,3,Gold,4.99
285607,4.99,1,2024-04-05,2024-04-05,1,Gold,4.99
285634,49.97,3,2024-04-05,2024-04-08,2,Gold,16.66
