user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272509,2024-03-07,2024-04-30,android,34,55
272510,2024-03-06,2024-04-29,android,34,55
272514,2024-03-23,2024-04-13,android,14,22
272515,2024-03-02,2024-03-14,ios,13,13
272517,2024-03-09,2024-04-03,android,2,26
272518,2024-03-02,2024-03-17,android,15,16
272520,2024-04-11,2024-04-16,android,5,6
272523,2024-03-29,2024-04-29,android,14,32
272524,2024-03-01,2024-05-01,android,60,62
272525,2024-03-21,2024-04-26,android,14,37
272526,2024-03-01,2024-03-24,android,20,24
272527,2024-03-18,2024-04-22,android,18,36
272528,2024-03-16,2024-03-26,android,10,11
272529,2024-03-31,2024-03-31,android,1,1
272531,2024-03-04,2024-04-11,android,13,39
272534,2024-03-01,2024-04-25,android,45,56
272537,2024-03-03,2024-03-25,android,12,23
272538,2024-04-09,2024-05-01,android,22,23
272539,2024-03-02,2024-03-16,android,13,15
272540,2024-03-21,2024-03-27,android,6,7
272541,2024-04-01,2024-04-06,android,6,6
272542,2024-03-01,2024-04-10,android,19,41
272543,2024-03-04,2024-03-17,android,3,14
272545,2024-04-15,2024-05-01,android,14,17
272546,2024-03-02,2024-04-12,ios,27,42
272547,2024-03-03,2024-04-29,android,39,58
272548,2024-03-29,2024-04-24,android,22,27
272549,2024-03-01,2024-03-12,ios,7,12
272550,2024-03-01,2024-03-18,android,17,18
272551,2024-03-25,2024-04-30,android,12,37
272553,2024-03-27,2024-04-14,android,14,19
272554,2024-03-01,2024-03-17,android,17,17
272556,2024-03-14,2024-03-23,android,10,10
272557,2024-03-03,2024-03-09,android,7,7
272558,2024-03-11,2024-03-15,android,5,5
272559,2024-03-02,2024-03-17,android,10,16
272560,2024-03-01,2024-03-14,android,6,14
272561,2024-03-03,2024-03-18,android,7,16
272562,2024-04-05,2024-04-30,android,19,26
272563,2024-03-20,2024-04-11,android,23,23
272564,2024-03-26,2024-04-17,android,16,23
272565,2024-03-25,2024-04-02,android,8,9
272567,2024-03-14,2024-03-19,android,6,6
272568,2024-03-22,2024-04-22,android,15,32
272569,2024-03-01,2024-04-26,android,34,57
272570,2024-03-02,2024-03-11,android,8,10
272571,2024-03-07,2024-05-01,android,43,56
272573,2024-03-01,2024-05-01,android,41,62
272574,2024-03-22,2024-04-30,android,27,40
272575,2024-04-05,2024-04-09,android,5,5
272576,2024-03-07,2024-03-26,android,14,20
272577,2024-04-15,2024-05-01,android,17,17
272578,2024-04-09,2024-04-11,android,3,3
272579,2024-03-02,2024-03-14,ios,13,13
272580,2024-03-09,2024-03-16,android,3,8
272582,2024-03-01,2024-03-05,ios,5,5
272583,2024-04-11,2024-04-14,android,4,4
272584,2024-03-07,2024-04-22,android,32,47
272585,2024-03-06,2024-03-31,ios,6,26
272587,2024-03-01,2024-04-09,android,20,40
272588,2024-03-14,2024-03-22,android,8,9
272589,2024-03-25,2024-04-25,android,12,32
272590,2024-03-24,2024-04-21,android,28,29
272591,2024-04-17,2024-05-01,android,12,15
272592,2024-04-06,2024-04-09,android,4,4
272593,2024-03-02,2024-03-26,android,4,25
272594,2024-03-01,2024-04-16,android,22,47
272595,2024-03-02,2024-05-01,android,39,61
272596,2024-04-05,2024-04-30,android,26,26
272597,2024-03-08,2024-03-21,android,13,14
272598,2024-04-09,2024-04-19,android,11,11
272599,2024-04-05,2024-04-25,android,10,21
272600,2024-03-02,2024-04-18,android,14,48
272602,2024-04-05,2024-04-19,android,7,15
272603,2024-04-11,2024-04-16,android,5,6
272604,2024-03-12,2024-03-31,android,13,20
272605,2024-04-11,2024-05-01,android,21,21
272607,2024-04-10,2024-04-22,android,12,13
272609,2024-04-18,2024-05-01,android,13,14
272611,2024-03-02,2024-03-29,android,20,28
272612,2024-03-28,2024-04-15,android,13,19
272614,2024-04-20,2024-04-22,android,3,3
272616,2024-03-12,2024-03-23,android,11,12
272617,2024-04-15,2024-05-01,android,17,17
272618,2024-03-05,2024-03-18,android,14,14
272619,2024-04-07,2024-05-01,android,20,25
272620,2024-03-28,2024-04-10,android,12,14
272621,2024-03-01,2024-03-18,android,17,18
272622,2024-04-17,2024-05-01,android,15,15
272625,2024-04-11,2024-04-23,android,12,13
272626,2024-04-14,2024-04-19,android,5,6
272627,2024-03-30,2024-05-01,android,19,33
272628,2024-03-10,2024-04-13,android,11,35
272630,2024-03-01,2024-05-01,android,56,62
272631,2024-03-23,2024-04-10,android,19,19
272632,2024-03-01,2024-04-25,android,14,56
272634,2024-03-19,2024-03-31,android,2,13
272636,2024-03-10,2024-04-20,android,23,42
272637,2024-04-23,2024-04-23,android,1,1
272638,2024-03-20,2024-04-26,android,13,38
272639,2024-03-11,2024-04-24,android,8,45
272640,2024-04-15,2024-05-01,android,14,17
272641,2024-03-03,2024-03-16,android,13,14
272642,2024-03-20,2024-03-31,android,9,12
272643,2024-03-25,2024-05-01,android,24,38
272644,2024-03-02,2024-04-07,android,21,37
272645,2024-03-17,2024-04-07,android,7,22
272646,2024-04-17,2024-05-01,android,8,15
272647,2024-03-20,2024-04-17,android,23,29
272648,2024-03-04,2024-03-15,android,11,12
272649,2024-04-01,2024-04-08,android,8,8
272650,2024-04-16,2024-04-23,android,7,8
272651,2024-03-28,2024-04-12,android,13,16
272652,2024-04-03,2024-05-01,android,23,29
272653,2024-04-09,2024-04-27,android,8,19
272654,2024-03-25,2024-04-01,android,8,8
272655,2024-03-01,2024-03-04,android,4,4
272656,2024-03-05,2024-04-24,android,40,51
272657,2024-03-29,2024-04-12,ios,6,15
272658,2024-03-01,2024-05-01,android,15,62
272659,2024-03-15,2024-03-25,android,11,11
272660,2024-03-16,2024-04-03,android,16,19
272661,2024-04-14,2024-04-29,android,7,16
272663,2024-04-06,2024-04-24,android,17,19
272665,2024-03-05,2024-03-31,android,24,27
272666,2024-03-04,2024-04-28,android,4,56
272667,2024-04-16,2024-04-28,ios,8,13
272668,2024-03-21,2024-03-21,android,1,1
272669,2024-03-14,2024-03-31,android,13,18
272672,2024-03-21,2024-03-27,android,7,7
272674,2024-03-03,2024-04-13,android,40,42
